%
Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, the Altera Quartus II License Agreement,
the Altera MegaCore Function License Agreement, or other 
applicable license agreement, including, without limitation, 
that your use is for the sole purpose of programming logic 
devices manufactured by Altera and sold by Altera or its 
authorized distributors.  Please refer to the applicable 
agreement for further details.
%

GROUP CREATE div_centr:inst9|quotient[39..0] = div_centr:inst9|quotient[39] div_centr:inst9|quotient[38] div_centr:inst9|quotient[37] div_centr:inst9|quotient[36] div_centr:inst9|quotient[35] div_centr:inst9|quotient[34] div_centr:inst9|quotient[33] div_centr:inst9|quotient[32] div_centr:inst9|quotient[31] div_centr:inst9|quotient[30] div_centr:inst9|quotient[29] div_centr:inst9|quotient[28] div_centr:inst9|quotient[27] div_centr:inst9|quotient[26] div_centr:inst9|quotient[25] div_centr:inst9|quotient[24] div_centr:inst9|quotient[23] div_centr:inst9|quotient[22] div_centr:inst9|quotient[21] div_centr:inst9|quotient[20] div_centr:inst9|quotient[19] div_centr:inst9|quotient[18] div_centr:inst9|quotient[17] div_centr:inst9|quotient[16] div_centr:inst9|quotient[15] div_centr:inst9|quotient[14] div_centr:inst9|quotient[13] div_centr:inst9|quotient[12] div_centr:inst9|quotient[11] div_centr:inst9|quotient[10] div_centr:inst9|quotient[9] div_centr:inst9|quotient[8] div_centr:inst9|quotient[7] div_centr:inst9|quotient[6] div_centr:inst9|quotient[5] div_centr:inst9|quotient[4] div_centr:inst9|quotient[3] div_centr:inst9|quotient[2] div_centr:inst9|quotient[1] div_centr:inst9|quotient[0] ;
INPUTS div_centr:inst9|clock;
OUTPUTS div_centr:inst9|quotient[39..0];
UNIT ns;
RADIX HEX;
PATTERN
  50500000000.0> 1 = FFFFFFFFFF 
  51000000000.0> 0 = FFFFFFFFFF 
  51500000000.0> 1 = XXXXXXXXXX 
  52000000000.0> 0 = XXXXXXXXXX 
  52500000000.0> 1 = XXXXXXXXXX 
  53000000000.0> 0 = XXXXXXXXXX 
  53500000000.0> 1 = XXXXXXXXXX 
  54000000000.0> 0 = XXXXXXXXXX 
  54500000000.0> 1 = XXXXXXXXXX 
  55000000000.0> 0 = XXXXXXXXXX 
  55500000000.0> 1 = XXXXXXXXXX 
  56000000000.0> 0 = XXXXXXXXXX 
  56500000000.0> 1 = XXXXXXXXXX 
  57000000000.0> 0 = XXXXXXXXXX 
  57500000000.0> 1 = XXXXXXXXXX 
  58000000000.0> 0 = XXXXXXXXXX 
  58500000000.0> 1 = XXXXXXXXXX 
  59000000000.0> 0 = XXXXXXXXXX 
  59500000000.0> 1 = XXXXXXXXXX 
  60000000000.0> 0 = XXXXXXXXXX 
  60500000000.0> 1 = XXXXXXXXXX 
  61000000000.0> 0 = XXXXXXXXXX 
  61500000000.0> 1 = XXXXXXXXXX 
  62000000000.0> 0 = XXXXXXXXXX 
  62500000000.0> 1 = XXXXXXXXXX 
  63000000000.0> 0 = XXXXXXXXXX 
  63500000000.0> 1 = XXXXXXXXXX 
  64000000000.0> 0 = XXXXXXXXXX 
  64500000000.0> 1 = XXXXXXXXXX 
  65000000000.0> 0 = XXXXXXXXXX 
  65500000000.0> 1 = XXXXXXXXXX 
  66000000000.0> 0 = XXXXXXXXXX 
  66500000000.0> 1 = XXXXXXXXXX 
  67000000000.0> 0 = XXXXXXXXXX 
  67500000000.0> 1 = XXXXXXXXXX 
  68000000000.0> 0 = XXXXXXXXXX 
  68500000000.0> 1 = XXXXXXXXXX 
  69000000000.0> 0 = XXXXXXXXXX 
  69500000000.0> 1 = XXXXXXXXXX 
  70000000000.0> 0 = XXXXXXXXXX 
  70500000000.0> 1 = XXXXXXXXXX 
  71000000000.0> 0 = XXXXXXXXXX 
  71500000000.0> 1 = XXXXXXXXXX 
  72000000000.0> 0 = XXXXXXXXXX 
  72500000000.0> 1 = XXXXXXXXXX 
  73000000000.0> 0 = XXXXXXXXXX 
  73500000000.0> 1 = XXXXXXXXXX 
  74000000000.0> 0 = XXXXXXXXXX 
  74500000000.0> 1 = XXXXXXXXXX 
  75000000000.0> 0 = XXXXXXXXXX 
  75500000000.0> 1 = XXXXXXXXXX 
  76000000000.0> 0 = XXXXXXXXXX 
  76500000000.0> 1 = XXXXXXXXXX 
  77000000000.0> 0 = XXXXXXXXXX 
  77500000000.0> 1 = XXXXXXXXXX 
  78000000000.0> 0 = XXXXXXXXXX 
  78500000000.0> 1 = XXXXXXXXXX 
  79000000000.0> 0 = XXXXXXXXXX 
  79500000000.0> 1 = XXXXXXXXXX 
  80000000000.0> 0 = XXXXXXXXXX 
  80500000000.0> 1 = XXXXXXXXXX 
  81000000000.0> 0 = XXXXXXXXXX 
  81500000000.0> 1 = XXXXXXXXXX 
  82000000000.0> 0 = XXXXXXXXXX 
  82500000000.0> 1 = XXXXXXXXXX 
  83000000000.0> 0 = XXXXXXXXXX 
  83500000000.0> 1 = XXXXXXXXXX 
  84000000000.0> 0 = XXXXXXXXXX 
  84500000000.0> 1 = XXXXXXXXXX 
  85000000000.0> 0 = XXXXXXXXXX 
  85500000000.0> 1 = XXXXXXXXXX 
  86000000000.0> 0 = XXXXXXXXXX 
  86500000000.0> 1 = XXXXXXXXXX 
  87000000000.0> 0 = XXXXXXXXXX 
  87500000000.0> 1 = XXXXXXXXXX 
  88000000000.0> 0 = XXXXXXXXXX 
  88500000000.0> 1 = XXXXXXXXXX 
  89000000000.0> 0 = XXXXXXXXXX 
  89500000000.0> 1 = XXXXXXXXXX 
  90000000000.0> 0 = XXXXXXXXXX 
  90500000000.0> 1 = XXXXXXXXXX 
  91000000000.0> 0 = XXXXXXXXXX 
  91500000000.0> 1 = XXXXXXXXXX 
  92000000000.0> 0 = XXXXXXXXXX 
  92500000000.0> 1 = XXXXXXXXXX 
  93000000000.0> 0 = XXXXXXXXXX 
  93500000000.0> 1 = XXXXXXXXXX 
  94000000000.0> 0 = XXXXXXXXXX 
  94500000000.0> 1 = XXXXXXXXXX 
  95000000000.0> 0 = XXXXXXXXXX 
  95500000000.0> 1 = XXXXXXXXXX 
  96000000000.0> 0 = XXXXXXXXXX 
  96500000000.0> 1 = XXXXXXXXXX 
  97000000000.0> 0 = XXXXXXXXXX 
  97500000000.0> 1 = XXXXXXXXXX 
  98000000000.0> 0 = XXXXXXXXXX 
  98500000000.0> 1 = XXXXXXXXXX 
  99000000000.0> 0 = XXXXXXXXXX 
  99500000000.0> 1 = XXXXXXXXXX 
 100000000000.0> 0 = XXXXXXXXXX 
 100500000000.0> 1 = XXXXXXXXXX 
 101000000000.0> 0 = XXXXXXXXXX 
 101500000000.0> 1 = XXXXXXXXXX 
 102000000000.0> 0 = XXXXXXXXXX 
 102500000000.0> 1 = XXXXXXXXXX 
 103000000000.0> 0 = XXXXXXXXXX 
 103500000000.0> 1 = XXXXXXXXXX 
 104000000000.0> 0 = XXXXXXXXXX 
 104500000000.0> 1 = XXXXXXXXXX 
 105000000000.0> 0 = XXXXXXXXXX 
 105500000000.0> 1 = XXXXXXXXXX 
 106000000000.0> 0 = XXXXXXXXXX 
 106500000000.0> 1 = XXXXXXXXXX 
 107000000000.0> 0 = XXXXXXXXXX 
 107500000000.0> 1 = XXXXXXXXXX 
 108000000000.0> 0 = XXXXXXXXXX 
 108500000000.0> 1 = XXXXXXXXXX 
 109000000000.0> 0 = XXXXXXXXXX 
 109500000000.0> 1 = XXXXXXXXXX 
 110000000000.0> 0 = XXXXXXXXXX 
 110500000000.0> 1 = XXXXXXXXXX 
 111000000000.0> 0 = XXXXXXXXXX 
 111500000000.0> 1 = XXXXXXXXXX 
 112000000000.0> 0 = XXXXXXXXXX 
 112500000000.0> 1 = XXXXXXXXXX 
 113000000000.0> 0 = XXXXXXXXXX 
 113500000000.0> 1 = XXXXXXXXXX 
 114000000000.0> 0 = XXXXXXXXXX 
 114500000000.0> 1 = XXXXXXXXXX 
 115000000000.0> 0 = XXXXXXXXXX 
 115500000000.0> 1 = XXXXXXXXXX 
 116000000000.0> 0 = XXXXXXXXXX 
 116500000000.0> 1 = XXXXXXXXXX 
 117000000000.0> 0 = XXXXXXXXXX 
 117500000000.0> 1 = XXXXXXXXXX 
 118000000000.0> 0 = XXXXXXXXXX 
 118500000000.0> 1 = XXXXXXXXXX 
 119000000000.0> 0 = XXXXXXXXXX 
 119500000000.0> 1 = XXXXXXXXXX 
 120000000000.0> 0 = XXXXXXXXXX 
 120500000000.0> 1 = XXXXXXXXXX 
 121000000000.0> 0 = XXXXXXXXXX 
 121500000000.0> 1 = XXXXXXXXXX 
 122000000000.0> 0 = XXXXXXXXXX 
 122500000000.0> 1 = XXXXXXXXXX 
 123000000000.0> 0 = XXXXXXXXXX 
 123500000000.0> 1 = XXXXXXXXXX 
 124000000000.0> 0 = XXXXXXXXXX 
 124500000000.0> 1 = XXXXXXXXXX 
 125000000000.0> 0 = XXXXXXXXXX 
 125500000000.0> 1 = XXXXXXXXXX 
 126000000000.0> 0 = XXXXXXXXXX 
 126500000000.0> 1 = XXXXXXXXXX 
 127000000000.0> 0 = XXXXXXXXXX 
 127500000000.0> 1 = XXXXXXXXXX 
 128000000000.0> 0 = XXXXXXXXXX 
 128500000000.0> 1 = XXXXXXXXXX 
 129000000000.0> 0 = XXXXXXXXXX 
 129500000000.0> 1 = XXXXXXXXXX 
 130000000000.0> 0 = XXXXXXXXXX 
 130500000000.0> 1 = XXXXXXXXXX 
 131000000000.0> 0 = XXXXXXXXXX 
 131500000000.0> 1 = XXXXXXXXXX 
 132000000000.0> 0 = XXXXXXXXXX 
 132500000000.0> 1 = XXXXXXXXXX 
 133000000000.0> 0 = XXXXXXXXXX 
 133500000000.0> 1 = XXXXXXXXXX 
 134000000000.0> 0 = XXXXXXXXXX 
 134500000000.0> 1 = XXXXXXXXXX 
 135000000000.0> 0 = XXXXXXXXXX 
 135500000000.0> 1 = XXXXXXXXXX 
 136000000000.0> 0 = XXXXXXXXXX 
 136500000000.0> 1 = XXXXXXXXXX 
 137000000000.0> 0 = XXXXXXXXXX 
 137500000000.0> 1 = XXXXXXXXXX 
 138000000000.0> 0 = XXXXXXXXXX 
 138500000000.0> 1 = XXXXXXXXXX 
 139000000000.0> 0 = XXXXXXXXXX 
 139500000000.0> 1 = XXXXXXXXXX 
 140000000000.0> 0 = XXXXXXXXXX 
 140500000000.0> 1 = XXXXXXXXXX 
 141000000000.0> 0 = XXXXXXXXXX 
 141500000000.0> 1 = XXXXXXXXXX 
 142000000000.0> 0 = XXXXXXXXXX 
 142500000000.0> 1 = XXXXXXXXXX 
 143000000000.0> 0 = XXXXXXXXXX 
 143500000000.0> 1 = XXXXXXXXXX 
 144000000000.0> 0 = XXXXXXXXXX 
 144500000000.0> 1 = XXXXXXXXXX 
 145000000000.0> 0 = XXXXXXXXXX 
 145500000000.0> 1 = XXXXXXXXXX 
 146000000000.0> 0 = XXXXXXXXXX 
 146500000000.0> 1 = XXXXXXXXXX 
 147000000000.0> 0 = XXXXXXXXXX 
 147500000000.0> 1 = XXXXXXXXXX 
 148000000000.0> 0 = XXXXXXXXXX 
