%
Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, the Altera Quartus II License Agreement,
the Altera MegaCore Function License Agreement, or other 
applicable license agreement, including, without limitation, 
that your use is for the sole purpose of programming logic 
devices manufactured by Altera and sold by Altera or its 
authorized distributors.  Please refer to the applicable 
agreement for further details.
%

GROUP CREATE div_centr:inst9|quotient[39..0] = div_centr:inst9|quotient[39] div_centr:inst9|quotient[38] div_centr:inst9|quotient[37] div_centr:inst9|quotient[36] div_centr:inst9|quotient[35] div_centr:inst9|quotient[34] div_centr:inst9|quotient[33] div_centr:inst9|quotient[32] div_centr:inst9|quotient[31] div_centr:inst9|quotient[30] div_centr:inst9|quotient[29] div_centr:inst9|quotient[28] div_centr:inst9|quotient[27] div_centr:inst9|quotient[26] div_centr:inst9|quotient[25] div_centr:inst9|quotient[24] div_centr:inst9|quotient[23] div_centr:inst9|quotient[22] div_centr:inst9|quotient[21] div_centr:inst9|quotient[20] div_centr:inst9|quotient[19] div_centr:inst9|quotient[18] div_centr:inst9|quotient[17] div_centr:inst9|quotient[16] div_centr:inst9|quotient[15] div_centr:inst9|quotient[14] div_centr:inst9|quotient[13] div_centr:inst9|quotient[12] div_centr:inst9|quotient[11] div_centr:inst9|quotient[10] div_centr:inst9|quotient[9] div_centr:inst9|quotient[8] div_centr:inst9|quotient[7] div_centr:inst9|quotient[6] div_centr:inst9|quotient[5] div_centr:inst9|quotient[4] div_centr:inst9|quotient[3] div_centr:inst9|quotient[2] div_centr:inst9|quotient[1] div_centr:inst9|quotient[0] ;
INPUTS div_centr:inst9|clock;
OUTPUTS div_centr:inst9|quotient[39..0];
UNIT ns;
RADIX HEX;
PATTERN
 215000000000.0> 0 = XXXXXXXXXX 
 215500000000.0> 1 = XXXXXXXXXX 
 216000000000.0> 0 = XXXXXXXXXX 
 216500000000.0> 1 = XXXXXXXXXX 
 217000000000.0> 0 = XXXXXXXXXX 
 217500000000.0> 1 = XXXXXXXXXX 
 218000000000.0> 0 = XXXXXXXXXX 
 218500000000.0> 1 = XXXXXXXXXX 
 219000000000.0> 0 = XXXXXXXXXX 
 219500000000.0> 1 = XXXXXXXXXX 
 220000000000.0> 0 = XXXXXXXXXX 
 220500000000.0> 1 = XXXXXXXXXX 
 221000000000.0> 0 = XXXXXXXXXX 
 221500000000.0> 1 = XXXXXXXXXX 
 222000000000.0> 0 = XXXXXXXXXX 
 222500000000.0> 1 = XXXXXXXXXX 
 223000000000.0> 0 = XXXXXXXXXX 
 223500000000.0> 1 = XXXXXXXXXX 
 224000000000.0> 0 = XXXXXXXXXX 
 224500000000.0> 1 = XXXXXXXXXX 
 225000000000.0> 0 = XXXXXXXXXX 
 225500000000.0> 1 = XXXXXXXXXX 
 226000000000.0> 0 = XXXXXXXXXX 
 226500000000.0> 1 = XXXXXXXXXX 
 227000000000.0> 0 = XXXXXXXXXX 
 227500000000.0> 1 = XXXXXXXXXX 
 228000000000.0> 0 = XXXXXXXXXX 
 228500000000.0> 1 = XXXXXXXXXX 
 229000000000.0> 0 = XXXXXXXXXX 
 229500000000.0> 1 = XXXXXXXXXX 
 230000000000.0> 0 = XXXXXXXXXX 
 230500000000.0> 1 = XXXXXXXXXX 
 231000000000.0> 0 = XXXXXXXXXX 
 231500000000.0> 1 = XXXXXXXXXX 
 232000000000.0> 0 = XXXXXXXXXX 
 232500000000.0> 1 = XXXXXXXXXX 
 233000000000.0> 0 = XXXXXXXXXX 
 233500000000.0> 1 = XXXXXXXXXX 
 234000000000.0> 0 = XXXXXXXXXX 
 234500000000.0> 1 = XXXXXXXXXX 
 235000000000.0> 0 = XXXXXXXXXX 
 235500000000.0> 1 = XXXXXXXXXX 
 236000000000.0> 0 = XXXXXXXXXX 
 236500000000.0> 1 = XXXXXXXXXX 
 237000000000.0> 0 = XXXXXXXXXX 
 237500000000.0> 1 = XXXXXXXXXX 
 238000000000.0> 0 = XXXXXXXXXX 
 238500000000.0> 1 = XXXXXXXXXX 
 239000000000.0> 0 = XXXXXXXXXX 
 239500000000.0> 1 = XXXXXXXXXX 
 240000000000.0> 0 = XXXXXXXXXX 
 240500000000.0> 1 = XXXXXXXXXX 
 241000000000.0> 0 = XXXXXXXXXX 
 241500000000.0> 1 = XXXXXXXXXX 
 242000000000.0> 0 = XXXXXXXXXX 
 242500000000.0> 1 = XXXXXXXXXX 
 243000000000.0> 0 = XXXXXXXXXX 
 243500000000.0> 1 = XXXXXXXXXX 
 244000000000.0> 0 = XXXXXXXXXX 
 244500000000.0> 1 = XXXXXXXXXX 
 245000000000.0> 0 = XXXXXXXXXX 
 245500000000.0> 1 = XXXXXXXXXX 
 246000000000.0> 0 = XXXXXXXXXX 
 246500000000.0> 1 = XXXXXXXXXX 
 247000000000.0> 0 = XXXXXXXXXX 
 247500000000.0> 1 = XXXXXXXXXX 
 248000000000.0> 0 = XXXXXXXXXX 
 248500000000.0> 1 = XXXXXXXXXX 
 249000000000.0> 0 = XXXXXXXXXX 
 249500000000.0> 1 = XXXXXXXXXX 
 250000000000.0> 0 = XXXXXXXXXX 
 250500000000.0> 1 = XXXXXXXXXX 
 251000000000.0> 0 = XXXXXXXXXX 
 251500000000.0> 1 = XXXXXXXXXX 
 252000000000.0> 0 = XXXXXXXXXX 
 252500000000.0> 1 = XXXXXXXXXX 
 253000000000.0> 0 = XXXXXXXXXX 
 253500000000.0> 1 = XXXXXXXXXX 
 254000000000.0> 0 = XXXXXXXXXX 
 254500000000.0> 1 = XXXXXXXXXX 
 255000000000.0> 0 = XXXXXXXXXX 
 255500000000.0> 1 = XXXXXXXXXX 
 256000000000.0> 0 = XXXXXXXXXX 
 256500000000.0> 1 = XXXXXXXXXX 
 257000000000.0> 0 = XXXXXXXXXX 
 257500000000.0> 1 = XXXXXXXXXX 
 258000000000.0> 0 = XXXXXXXXXX 
 258500000000.0> 1 = XXXXXXXXXX 
 259000000000.0> 0 = XXXXXXXXXX 
 259500000000.0> 1 = XXXXXXXXXX 
 260000000000.0> 0 = XXXXXXXXXX 
 260500000000.0> 1 = XXXXXXXXXX 
 261000000000.0> 0 = XXXXXXXXXX 
 261500000000.0> 1 = XXXXXXXXXX 
 262000000000.0> 0 = XXXXXXXXXX 
 262500000000.0> 1 = XXXXXXXXXX 
 263000000000.0> 0 = XXXXXXXXXX 
 263500000000.0> 1 = XXXXXXXXXX 
 264000000000.0> 0 = XXXXXXXXXX 
 264500000000.0> 1 = XXXXXXXXXX 
 265000000000.0> 0 = XXXXXXXXXX 
 265500000000.0> 1 = XXXXXXXXXX 
 266000000000.0> 0 = XXXXXXXXXX 
 266500000000.0> 1 = XXXXXXXXXX 
 267000000000.0> 0 = XXXXXXXXXX 
 267500000000.0> 1 = XXXXXXXXXX 
 268000000000.0> 0 = XXXXXXXXXX 
 268500000000.0> 1 = XXXXXXXXXX 
 269000000000.0> 0 = XXXXXXXXXX 
 269500000000.0> 1 = XXXXXXXXXX 
 270000000000.0> 0 = XXXXXXXXXX 
 270500000000.0> 1 = XXXXXXXXXX 
 271000000000.0> 0 = XXXXXXXXXX 
 271500000000.0> 1 = XXXXXXXXXX 
 272000000000.0> 0 = XXXXXXXXXX 
 272500000000.0> 1 = XXXXXXXXXX 
 273000000000.0> 0 = XXXXXXXXXX 
 273500000000.0> 1 = XXXXXXXXXX 
 274000000000.0> 0 = XXXXXXXXXX 
 274500000000.0> 1 = XXXXXXXXXX 
 275000000000.0> 0 = XXXXXXXXXX 
 275500000000.0> 1 = XXXXXXXXXX 
 276000000000.0> 0 = XXXXXXXXXX 
 276500000000.0> 1 = XXXXXXXXXX 
 277000000000.0> 0 = XXXXXXXXXX 
 277500000000.0> 1 = XXXXXXXXXX 
 278000000000.0> 0 = XXXXXXXXXX 
 278500000000.0> 1 = XXXXXXXXXX 
 279000000000.0> 0 = XXXXXXXXXX 
 279500000000.0> 1 = XXXXXXXXXX 
 280000000000.0> 0 = XXXXXXXXXX 
 280500000000.0> 1 = XXXXXXXXXX 
 281000000000.0> 0 = XXXXXXXXXX 
 281500000000.0> 1 = XXXXXXXXXX 
 282000000000.0> 0 = XXXXXXXXXX 
 282500000000.0> 1 = XXXXXXXXXX 
 283000000000.0> 0 = XXXXXXXXXX 
 283500000000.0> 1 = XXXXXXXXXX 
 284000000000.0> 0 = XXXXXXXXXX 
 284500000000.0> 1 = XXXXXXXXXX 
 285000000000.0> 0 = XXXXXXXXXX 
 285500000000.0> 1 = XXXXXXXXXX 
 286000000000.0> 0 = XXXXXXXXXX 
 286500000000.0> 1 = XXXXXXXXXX 
 287000000000.0> 0 = XXXXXXXXXX 
 287500000000.0> 1 = XXXXXXXXXX 
 288000000000.0> 0 = XXXXXXXXXX 
 288500000000.0> 1 = XXXXXXXXXX 
 289000000000.0> 0 = XXXXXXXXXX 
 289500000000.0> 1 = XXXXXXXXXX 
 290000000000.0> 0 = XXXXXXXXXX 
 290500000000.0> 1 = XXXXXXXXXX 
 291000000000.0> 0 = XXXXXXXXXX 
 291500000000.0> 1 = XXXXXXXXXX 
 292000000000.0> 0 = XXXXXXXXXX 
 292500000000.0> 1 = XXXXXXXXXX 
 293000000000.0> 0 = XXXXXXXXXX 
 293500000000.0> 1 = XXXXXXXXXX 
 294000000000.0> 0 = XXXXXXXXXX 
 294500000000.0> 1 = XXXXXXXXXX 
 295000000000.0> 0 = XXXXXXXXXX 
 295500000000.0> 1 = XXXXXXXXXX 
 296000000000.0> 0 = XXXXXXXXXX 
 296500000000.0> 1 = XXXXXXXXXX 
 297000000000.0> 0 = XXXXXXXXXX 
 297500000000.0> 1 = XXXXXXXXXX 
 298000000000.0> 0 = XXXXXXXXXX 
 298500000000.0> 1 = XXXXXXXXXX 
 299000000000.0> 0 = XXXXXXXXXX 
 299500000000.0> 1 = XXXXXXXXXX 
 300000000000.0> 0 = XXXXXXXXXX 
 300500000000.0> 1 = XXXXXXXXXX 
 301000000000.0> 0 = XXXXXXXXXX 
 301500000000.0> 1 = XXXXXXXXXX 
 302000000000.0> 0 = XXXXXXXXXX 
 302500000000.0> 1 = XXXXXXXXXX 
 303000000000.0> 0 = XXXXXXXXXX 
 303500000000.0> 1 = XXXXXXXXXX 
 304000000000.0> 0 = XXXXXXXXXX 
 304500000000.0> 1 = XXXXXXXXXX 
 305000000000.0> 0 = XXXXXXXXXX 
 305500000000.0> 1 = XXXXXXXXXX 
 306000000000.0> 0 = XXXXXXXXXX 
 306500000000.0> 1 = XXXXXXXXXX 
 307000000000.0> 0 = XXXXXXXXXX 
 307500000000.0> 1 = XXXXXXXXXX 
 308000000000.0> 0 = XXXXXXXXXX 
 308500000000.0> 1 = XXXXXXXXXX 
 309000000000.0> 0 = XXXXXXXXXX 
 309500000000.0> 1 = XXXXXXXXXX 
 310000000000.0> 0 = XXXXXXXXXX 
 310500000000.0> 1 = XXXXXXXXXX 
 311000000000.0> 0 = XXXXXXXXXX 
 311500000000.0> 1 = XXXXXXXXXX 
 312000000000.0> 0 = XXXXXXXXXX 
 312500000000.0> 1 = XXXXXXXXXX 
 313000000000.0> 0 = XXXXXXXXXX 
 313500000000.0> 1 = XXXXXXXXXX 
 314000000000.0> 0 = XXXXXXXXXX 
 314500000000.0> 1 = XXXXXXXXXX 
 315000000000.0> 0 = XXXXXXXXXX 
 315500000000.0> 1 = XXXXXXXXXX 
 316000000000.0> 0 = XXXXXXXXXX 
 316500000000.0> 1 = XXXXXXXXXX 
 317000000000.0> 0 = XXXXXXXXXX 
 317500000000.0> 1 = XXXXXXXXXX 
 318000000000.0> 0 = XXXXXXXXXX 
 318500000000.0> 1 = XXXXXXXXXX 
 319000000000.0> 0 = XXXXXXXXXX 
 319500000000.0> 1 = XXXXXXXXXX 
 320000000000.0> 0 = XXXXXXXXXX 
 320500000000.0> 1 = XXXXXXXXXX 
 321000000000.0> 0 = XXXXXXXXXX 
 321500000000.0> 1 = XXXXXXXXXX 
 322000000000.0> 0 = XXXXXXXXXX 
 322500000000.0> 1 = XXXXXXXXXX 
 323000000000.0> 0 = XXXXXXXXXX 
 323500000000.0> 1 = XXXXXXXXXX 
 324000000000.0> 0 = XXXXXXXXXX 
 324500000000.0> 1 = XXXXXXXXXX 
 325000000000.0> 0 = XXXXXXXXXX 
 325500000000.0> 1 = XXXXXXXXXX 
 326000000000.0> 0 = XXXXXXXXXX 
 326500000000.0> 1 = XXXXXXXXXX 
 327000000000.0> 0 = XXXXXXXXXX 
 327500000000.0> 1 = XXXXXXXXXX 
 328000000000.0> 0 = XXXXXXXXXX 
 328500000000.0> 1 = XXXXXXXXXX 
 329000000000.0> 0 = XXXXXXXXXX 
 329500000000.0> 1 = XXXXXXXXXX 
 330000000000.0> 0 = XXXXXXXXXX 
 330500000000.0> 1 = XXXXXXXXXX 
 331000000000.0> 0 = XXXXXXXXXX 
 331500000000.0> 1 = XXXXXXXXXX 
 332000000000.0> 0 = XXXXXXXXXX 
 332500000000.0> 1 = XXXXXXXXXX 
 333000000000.0> 0 = XXXXXXXXXX 
 333500000000.0> 1 = XXXXXXXXXX 
 334000000000.0> 0 = XXXXXXXXXX 
 334500000000.0> 1 = XXXXXXXXXX 
 335000000000.0> 0 = XXXXXXXXXX 
 335500000000.0> 1 = XXXXXXXXXX 
 336000000000.0> 0 = XXXXXXXXXX 
 336500000000.0> 1 = XXXXXXXXXX 
 337000000000.0> 0 = XXXXXXXXXX 
 337500000000.0> 1 = XXXXXXXXXX 
 338000000000.0> 0 = XXXXXXXXXX 
 338500000000.0> 1 = XXXXXXXXXX 
 339000000000.0> 0 = XXXXXXXXXX 
 339500000000.0> 1 = XXXXXXXXXX 
 340000000000.0> 0 = XXXXXXXXXX 
 340500000000.0> 1 = XXXXXXXXXX 
 341000000000.0> 0 = XXXXXXXXXX 
 341500000000.0> 1 = XXXXXXXXXX 
 342000000000.0> 0 = XXXXXXXXXX 
 342500000000.0> 1 = XXXXXXXXXX 
 343000000000.0> 0 = XXXXXXXXXX 
 343500000000.0> 1 = XXXXXXXXXX 
 344000000000.0> 0 = XXXXXXXXXX 
 344500000000.0> 1 = XXXXXXXXXX 
 345000000000.0> 0 = XXXXXXXXXX 
 345500000000.0> 1 = XXXXXXXXXX 
 346000000000.0> 0 = XXXXXXXXXX 
 346500000000.0> 1 = XXXXXXXXXX 
 347000000000.0> 0 = XXXXXXXXXX 
 347500000000.0> 1 = XXXXXXXXXX 
 348000000000.0> 0 = XXXXXXXXXX 
 348500000000.0> 1 = XXXXXXXXXX 
 349000000000.0> 0 = XXXXXXXXXX 
 349500000000.0> 1 = XXXXXXXXXX 
 350000000000.0> 0 = XXXXXXXXXX 
 350500000000.0> 1 = XXXXXXXXXX 
 351000000000.0> 0 = XXXXXXXXXX 
 351500000000.0> 1 = XXXXXXXXXX 
 352000000000.0> 0 = XXXXXXXXXX 
 352500000000.0> 1 = XXXXXXXXXX 
 353000000000.0> 0 = XXXXXXXXXX 
 353500000000.0> 1 = XXXXXXXXXX 
 354000000000.0> 0 = XXXXXXXXXX 
 354500000000.0> 1 = XXXXXXXXXX 
 355000000000.0> 0 = XXXXXXXXXX 
 355500000000.0> 1 = XXXXXXXXXX 
 356000000000.0> 0 = XXXXXXXXXX 
 356500000000.0> 1 = XXXXXXXXXX 
 357000000000.0> 0 = XXXXXXXXXX 
 357500000000.0> 1 = XXXXXXXXXX 
 358000000000.0> 0 = XXXXXXXXXX 
 358500000000.0> 1 = XXXXXXXXXX 
 359000000000.0> 0 = XXXXXXXXXX 
 359500000000.0> 1 = XXXXXXXXXX 
 360000000000.0> 0 = XXXXXXXXXX 
 360500000000.0> 1 = XXXXXXXXXX 
 361000000000.0> 0 = XXXXXXXXXX 
 361500000000.0> 1 = XXXXXXXXXX 
 362000000000.0> 0 = XXXXXXXXXX 
 362500000000.0> 1 = XXXXXXXXXX 
 363000000000.0> 0 = XXXXXXXXXX 
 363500000000.0> 1 = XXXXXXXXXX 
 364000000000.0> 0 = XXXXXXXXXX 
 364500000000.0> 1 = XXXXXXXXXX 
 365000000000.0> 0 = XXXXXXXXXX 
 365500000000.0> 1 = XXXXXXXXXX 
 366000000000.0> 0 = XXXXXXXXXX 
 366500000000.0> 1 = XXXXXXXXXX 
 367000000000.0> 0 = XXXXXXXXXX 
 367500000000.0> 1 = XXXXXXXXXX 
 368000000000.0> 0 = XXXXXXXXXX 
 368500000000.0> 1 = XXXXXXXXXX 
 369000000000.0> 0 = XXXXXXXXXX 
 369500000000.0> 1 = XXXXXXXXXX 
 370000000000.0> 0 = XXXXXXXXXX 
 370500000000.0> 1 = XXXXXXXXXX 
 371000000000.0> 0 = XXXXXXXXXX 
 371500000000.0> 1 = XXXXXXXXXX 
 372000000000.0> 0 = XXXXXXXXXX 
 372500000000.0> 1 = XXXXXXXXXX 
 373000000000.0> 0 = XXXXXXXXXX 
 373500000000.0> 1 = XXXXXXXXXX 
 374000000000.0> 0 = XXXXXXXXXX 
 374500000000.0> 1 = XXXXXXXXXX 
 375000000000.0> 0 = XXXXXXXXXX 
 375500000000.0> 1 = XXXXXXXXXX 
 376000000000.0> 0 = XXXXXXXXXX 
 376500000000.0> 1 = XXXXXXXXXX 
 377000000000.0> 0 = XXXXXXXXXX 
 377500000000.0> 1 = XXXXXXXXXX 
 378000000000.0> 0 = XXXXXXXXXX 
 378500000000.0> 1 = XXXXXXXXXX 
 379000000000.0> 0 = XXXXXXXXXX 
 379500000000.0> 1 = XXXXXXXXXX 
 380000000000.0> 0 = XXXXXXXXXX 
 380500000000.0> 1 = XXXXXXXXXX 
 381000000000.0> 0 = XXXXXXXXXX 
 381500000000.0> 1 = XXXXXXXXXX 
 382000000000.0> 0 = XXXXXXXXXX 
 382500000000.0> 1 = XXXXXXXXXX 
 383000000000.0> 0 = XXXXXXXXXX 
 383500000000.0> 1 = XXXXXXXXXX 
 384000000000.0> 0 = XXXXXXXXXX 
 384500000000.0> 1 = XXXXXXXXXX 
 385000000000.0> 0 = XXXXXXXXXX 
 385500000000.0> 1 = XXXXXXXXXX 
 386000000000.0> 0 = XXXXXXXXXX 
 386500000000.0> 1 = XXXXXXXXXX 
 387000000000.0> 0 = XXXXXXXXXX 
 387500000000.0> 1 = XXXXXXXXXX 
 388000000000.0> 0 = XXXXXXXXXX 
 388500000000.0> 1 = XXXXXXXXXX 
 389000000000.0> 0 = XXXXXXXXXX 
 389500000000.0> 1 = XXXXXXXXXX 
 390000000000.0> 0 = XXXXXXXXXX 
 390500000000.0> 1 = XXXXXXXXXX 
 391000000000.0> 0 = XXXXXXXXXX 
 391500000000.0> 1 = XXXXXXXXXX 
 392000000000.0> 0 = XXXXXXXXXX 
 392500000000.0> 1 = XXXXXXXXXX 
 393000000000.0> 0 = XXXXXXXXXX 
 393500000000.0> 1 = XXXXXXXXXX 
 394000000000.0> 0 = XXXXXXXXXX 
 394500000000.0> 1 = XXXXXXXXXX 
 395000000000.0> 0 = XXXXXXXXXX 
 395500000000.0> 1 = XXXXXXXXXX 
 396000000000.0> 0 = XXXXXXXXXX 
 396500000000.0> 1 = XXXXXXXXXX 
 397000000000.0> 0 = XXXXXXXXXX 
 397500000000.0> 1 = XXXXXXXXXX 
 398000000000.0> 0 = XXXXXXXXXX 
 398500000000.0> 1 = XXXXXXXXXX 
 399000000000.0> 0 = XXXXXXXXXX 
 399500000000.0> 1 = XXXXXXXXXX 
 400000000000.0> 0 = XXXXXXXXXX 
 400500000000.0> 1 = XXXXXXXXXX 
 401000000000.0> 0 = XXXXXXXXXX 
 401500000000.0> 1 = XXXXXXXXXX 
 402000000000.0> 0 = XXXXXXXXXX 
 402500000000.0> 1 = XXXXXXXXXX 
 403000000000.0> 0 = XXXXXXXXXX 
 403500000000.0> 1 = XXXXXXXXXX 
 404000000000.0> 0 = XXXXXXXXXX 
 404500000000.0> 1 = XXXXXXXXXX 
 405000000000.0> 0 = XXXXXXXXXX 
 405500000000.0> 1 = XXXXXXXXXX 
 406000000000.0> 0 = XXXXXXXXXX 
 406500000000.0> 1 = XXXXXXXXXX 
 407000000000.0> 0 = XXXXXXXXXX 
 407500000000.0> 1 = XXXXXXXXXX 
 408000000000.0> 0 = XXXXXXXXXX 
 408500000000.0> 1 = XXXXXXXXXX 
 409000000000.0> 0 = XXXXXXXXXX 
 409500000000.0> 1 = XXXXXXXXXX 
 410000000000.0> 0 = XXXXXXXXXX 
 410500000000.0> 1 = XXXXXXXXXX 
 411000000000.0> 0 = XXXXXXXXXX 
 411500000000.0> 1 = XXXXXXXXXX 
 412000000000.0> 0 = XXXXXXXXXX 
 412500000000.0> 1 = XXXXXXXXXX 
 413000000000.0> 0 = XXXXXXXXXX 
 413500000000.0> 1 = XXXXXXXXXX 
 414000000000.0> 0 = XXXXXXXXXX 
 414500000000.0> 1 = XXXXXXXXXX 
 415000000000.0> 0 = XXXXXXXXXX 
 415500000000.0> 1 = XXXXXXXXXX 
 416000000000.0> 0 = XXXXXXXXXX 
 416500000000.0> 1 = XXXXXXXXXX 
 417000000000.0> 0 = XXXXXXXXXX 
 417500000000.0> 1 = XXXXXXXXXX 
 418000000000.0> 0 = XXXXXXXXXX 
 418500000000.0> 1 = XXXXXXXXXX 
 419000000000.0> 0 = XXXXXXXXXX 
 419500000000.0> 1 = XXXXXXXXXX 
 420000000000.0> 0 = XXXXXXXXXX 
 420500000000.0> 1 = XXXXXXXXXX 
 421000000000.0> 0 = XXXXXXXXXX 
 421500000000.0> 1 = XXXXXXXXXX 
 422000000000.0> 0 = XXXXXXXXXX 
 422500000000.0> 1 = XXXXXXXXXX 
 423000000000.0> 0 = XXXXXXXXXX 
 423500000000.0> 1 = XXXXXXXXXX 
 424000000000.0> 0 = XXXXXXXXXX 
 424500000000.0> 1 = XXXXXXXXXX 
 425000000000.0> 0 = XXXXXXXXXX 
 425500000000.0> 1 = XXXXXXXXXX 
 426000000000.0> 0 = XXXXXXXXXX 
 426500000000.0> 1 = XXXXXXXXXX 
 427000000000.0> 0 = XXXXXXXXXX 
 427500000000.0> 1 = XXXXXXXXXX 
 428000000000.0> 0 = XXXXXXXXXX 
 428500000000.0> 1 = XXXXXXXXXX 
 429000000000.0> 0 = XXXXXXXXXX 
 429500000000.0> 1 = XXXXXXXXXX 
 430000000000.0> 0 = XXXXXXXXXX 
 430500000000.0> 1 = XXXXXXXXXX 
 431000000000.0> 0 = XXXXXXXXXX 
 431500000000.0> 1 = XXXXXXXXXX 
 432000000000.0> 0 = XXXXXXXXXX 
 432500000000.0> 1 = XXXXXXXXXX 
 433000000000.0> 0 = XXXXXXXXXX 
 433500000000.0> 1 = XXXXXXXXXX 
 434000000000.0> 0 = XXXXXXXXXX 
 434500000000.0> 1 = XXXXXXXXXX 
 435000000000.0> 0 = XXXXXXXXXX 
 435500000000.0> 1 = XXXXXXXXXX 
 436000000000.0> 0 = XXXXXXXXXX 
 436500000000.0> 1 = XXXXXXXXXX 
 437000000000.0> 0 = XXXXXXXXXX 
 437500000000.0> 1 = XXXXXXXXXX 
 438000000000.0> 0 = XXXXXXXXXX 
 438500000000.0> 1 = XXXXXXXXXX 
 439000000000.0> 0 = XXXXXXXXXX 
 439500000000.0> 1 = XXXXXXXXXX 
 440000000000.0> 0 = XXXXXXXXXX 
 440500000000.0> 1 = XXXXXXXXXX 
 441000000000.0> 0 = XXXXXXXXXX 
 441500000000.0> 1 = XXXXXXXXXX 
 442000000000.0> 0 = XXXXXXXXXX 
 442500000000.0> 1 = XXXXXXXXXX 
 443000000000.0> 0 = XXXXXXXXXX 
 443500000000.0> 1 = XXXXXXXXXX 
 444000000000.0> 0 = XXXXXXXXXX 
 444500000000.0> 1 = XXXXXXXXXX 
 445000000000.0> 0 = XXXXXXXXXX 
 445500000000.0> 1 = XXXXXXXXXX 
 446000000000.0> 0 = XXXXXXXXXX 
 446500000000.0> 1 = XXXXXXXXXX 
 447000000000.0> 0 = XXXXXXXXXX 
 447500000000.0> 1 = XXXXXXXXXX 
 448000000000.0> 0 = XXXXXXXXXX 
 448500000000.0> 1 = XXXXXXXXXX 
 449000000000.0> 0 = XXXXXXXXXX 
 449500000000.0> 1 = XXXXXXXXXX 
 450000000000.0> 0 = XXXXXXXXXX 
 450500000000.0> 1 = XXXXXXXXXX 
 451000000000.0> 0 = XXXXXXXXXX 
 451500000000.0> 1 = XXXXXXXXXX 
 452000000000.0> 0 = XXXXXXXXXX 
 452500000000.0> 1 = XXXXXXXXXX 
 453000000000.0> 0 = XXXXXXXXXX 
 453500000000.0> 1 = XXXXXXXXXX 
 454000000000.0> 0 = XXXXXXXXXX 
 454500000000.0> 1 = XXXXXXXXXX 
 455000000000.0> 0 = XXXXXXXXXX 
 455500000000.0> 1 = XXXXXXXXXX 
 456000000000.0> 0 = XXXXXXXXXX 
 456500000000.0> 1 = XXXXXXXXXX 
 457000000000.0> 0 = XXXXXXXXXX 
 457500000000.0> 1 = XXXXXXXXXX 
 458000000000.0> 0 = XXXXXXXXXX 
 458500000000.0> 1 = XXXXXXXXXX 
 459000000000.0> 0 = XXXXXXXXXX 
 459500000000.0> 1 = XXXXXXXXXX 
 460000000000.0> 0 = XXXXXXXXXX 
 460500000000.0> 1 = XXXXXXXXXX 
 461000000000.0> 0 = XXXXXXXXXX 
 461500000000.0> 1 = XXXXXXXXXX 
 462000000000.0> 0 = XXXXXXXXXX 
 462500000000.0> 1 = XXXXXXXXXX 
 463000000000.0> 0 = XXXXXXXXXX 
 463500000000.0> 1 = XXXXXXXXXX 
 464000000000.0> 0 = XXXXXXXXXX 
 464500000000.0> 1 = XXXXXXXXXX 
 465000000000.0> 0 = XXXXXXXXXX 
 465500000000.0> 1 = XXXXXXXXXX 
 466000000000.0> 0 = XXXXXXXXXX 
 466500000000.0> 1 = XXXXXXXXXX 
 467000000000.0> 0 = XXXXXXXXXX 
 467500000000.0> 1 = XXXXXXXXXX 
 468000000000.0> 0 = XXXXXXXXXX 
 468500000000.0> 1 = XXXXXXXXXX 
 469000000000.0> 0 = XXXXXXXXXX 
 469500000000.0> 1 = XXXXXXXXXX 
 470000000000.0> 0 = XXXXXXXXXX 
 470500000000.0> 1 = XXXXXXXXXX 
 471000000000.0> 0 = XXXXXXXXXX 
 471500000000.0> 1 = XXXXXXXXXX 
 472000000000.0> 0 = XXXXXXXXXX 
 472500000000.0> 1 = XXXXXXXXXX 
 473000000000.0> 0 = XXXXXXXXXX 
 473500000000.0> 1 = XXXXXXXXXX 
 474000000000.0> 0 = XXXXXXXXXX 
 474500000000.0> 1 = XXXXXXXXXX 
 475000000000.0> 0 = XXXXXXXXXX 
 475500000000.0> 1 = XXXXXXXXXX 
 476000000000.0> 0 = XXXXXXXXXX 
 476500000000.0> 1 = XXXXXXXXXX 
 477000000000.0> 0 = XXXXXXXXXX 
 477500000000.0> 1 = XXXXXXXXXX 
 478000000000.0> 0 = XXXXXXXXXX 
 478500000000.0> 1 = XXXXXXXXXX 
 479000000000.0> 0 = XXXXXXXXXX 
 479500000000.0> 1 = XXXXXXXXXX 
 480000000000.0> 0 = XXXXXXXXXX 
 480500000000.0> 1 = XXXXXXXXXX 
 481000000000.0> 0 = XXXXXXXXXX 
 481500000000.0> 1 = XXXXXXXXXX 
 482000000000.0> 0 = XXXXXXXXXX 
 482500000000.0> 1 = XXXXXXXXXX 
 483000000000.0> 0 = XXXXXXXXXX 
 483500000000.0> 1 = XXXXXXXXXX 
 484000000000.0> 0 = XXXXXXXXXX 
 484500000000.0> 1 = XXXXXXXXXX 
 485000000000.0> 0 = XXXXXXXXXX 
 485500000000.0> 1 = XXXXXXXXXX 
 486000000000.0> 0 = XXXXXXXXXX 
